id,nome,data,tasso
MII158910,Agrigento,2024-10-06,138.7097
MII157783,Alba,2024-10-06,77.5510
MII158919,"Alessandria Cantiello, Gaeta",2024-10-06,98.5714
MII158924,Alessandria San Michele,2024-10-06,139.7727
MII158935,Alghero,2024-10-06,55.1282
MII172277,Altamura,2024-10-06,158.8235
MII158944,Ancona Barcaglione,2024-10-06,96.0000
MII158941,Ancona Montacuto,2024-10-06,129.2969
MII158945,Arbus,2024-10-06,73.8095
MII158948,Arezzo,2024-10-06,137.5000
MII159053,Ariano Irpino,2024-10-06,120.5426
MII159060,Arienzo,2024-10-06,172.4138
MII159065,Ascoli Piceno,2024-10-06,125.2525
MII159069,Asti,2024-10-06,127.9412
MII159314,Augusta,2024-10-06,159.3567
MII172011,Avellino,2024-10-06,123.8569
MII172187,Aversa,2024-10-06,106.8376
MII182440,Avezzano,2024-10-06,139.2157
MII172222,Barcellona Pozzo di Gotto,2024-10-06,75.3676
MII181678,Bari,2024-10-06,164.3725
MII158901,Belluno,2024-10-06,128.0488
MII160204,Benevento,2024-10-06,160.3175
MII172827,Bergamo,2024-10-06,180.8176
MII172332,Biella,2024-10-06,110.7692
MII172344,Bollate,2024-10-06,113.0332
MII172508,Bologna,2024-10-06,168.3027
MII172580,Bolzano,2024-10-06,120.0000
MII172592,Brescia Canton Monbello,2024-10-06,207.1429
MII172610,Brescia Verziano,2024-10-06,167.6056
MII172623,Brindisi,2024-10-06,176.4706
MII172814,Brissogne - Aosta,2024-10-06,77.0115
MII172320,Busto Arsizio,2024-10-06,190.7080
MII172835,Cagliari Uta,2024-10-06,130.1248
MII173006,Caltagirone,2024-10-06,110.3448
MII173063,Caltanissetta,2024-10-06,120.2186
MII173088,Campobasso,2024-10-06,177.0833
MII173101,Carinola,2024-10-06,102.4194
MII173114,Cassino,2024-10-06,170.0787
MII173237,Castelfranco Emilia,2024-10-06,70.4698
MII173259,Castelvetrano,2024-10-06,161.3636
MII173265,Castrovillari,2024-10-06,150.8475
MII173285,Catania Bicocca,2024-10-06,131.8519
MII173301,Catania Piazza Lanza,2024-10-06,148.7455
MII173311,Catanzaro,2024-10-06,104.8387
MII173356,Chiavari,2024-10-06,113.4615
MII173364,Chieti,2024-10-06,173.4177
MII173688,Civitavecchia Giuseppe Passerini,2024-10-06,82.6087
MII172208,Civitavecchia Nuovo Complesso,2024-10-06,173.9550
MII173712,Como,2024-10-06,189.3333
MII173341,Cosenza,2024-10-06,127.9621
MII173747,Cremona,2024-10-06,153.1250
MII173324,Crotone,2024-10-06,130.5263
MII173764,Cuneo,2024-10-06,105.2770
MII173784,Eboli,2024-10-06,81.4815
MII173813,Enna,2024-10-06,124.6914
MII173994,Favignana,2024-10-06,103.3708
MII174501,Fermo,2024-10-06,130.2326
MII174686,Ferrara,2024-10-06,156.5574
MII174825,Firenze Mario Gozzini,2024-10-06,134.6154
MII174720,Firenze Sollicciano,2024-10-06,141.5301
MII176375,Foggia,2024-10-06,205.7971
MII176403,Forlì,2024-10-06,113.5338
MII176414,Fossano,2024-10-06,79.4118
MII176424,Fossombrone,2024-10-06,87.1287
MII176437,Frosinone,2024-10-06,126.2397
MII176451,Gela,2024-10-06,143.7500
MII152284,Genova Marassi,2024-10-06,126.3551
