id,nome,tipo,posti_regolamentari,posti_non_disponibili,posti_occupati,posti_aggiornati_al,asl,nome_responsabile_asl,cognome_responsabile_asl,nome_direttore,cognome_direttore,ruolo_direttore,personale_polizia_effettivi,personale_polizia_previsti,personale_amministrativi_effettivi,personale_amministrativi_previsti,personale_educatori_effettivi,personale_educatori_previsti,personale_polizia_aggiornato_a,personale_amministrativo_aggiornato_al
MII179988,Reggio Calabria Arghillà,Casa circondariale,294,0,353,6/17/24,5 Reggio Calabria,Luciano,Lucania,Marianna,Stendardo,Titolare,133,160,12,32,5,8,31/05/2024,31/05/2024
MII172610,Brescia Verziano,Casa di reclusione,71,0,123,6/17/24,Spedali Civili di Brescia,Luigi,Leone,,,,77,96,2,0,1,0,31/05/2024,31/05/2024
MII172320,Busto Arsizio,Casa circondariale,240,11,440,6/17/24,Busto Arsizio,Ezia,Iorio,Maria,Pitaniello,Titolare,180,217,14,21,3,5,31/05/2024,31/05/2024
MII173712,Como,Casa circondariale,226,0,433,6/17/24,Como,Giuseppe,Carrano,Fabrizio,Rinaldi,Titolare,181,236,15,23,3,6,31/05/2024,31/05/2024
MII173747,Cremona,Casa circondariale,394,10,577,6/17/24,CREMONA,Rossano,Botto,Rossella,Padula,Titolare,169,223,16,23,6,6,31/05/2024,31/05/2024
MII177436,Lecco,Casa circondariale,53,0,71,6/17/24,Ospedale Lecco,Vaira,Libera Maria,Luisa,Mattina,Titolare,37,42,6,14,2,2,31/05/2024,31/05/2024
MII178027,Lodi,Casa circondariale,45,0,81,6/17/24,Lodi,Concettina,Varango,Annalaura,Confuorto,Titolare,42,45,11,13,3,2,31/05/2024,31/05/2024
MII178072,Mantova,Casa circondariale,97,3,148,6/17/24,ASST Mantova,Laura,Mannarini,Metella Romana,Pasquini Peruzzi,Titolare,70,80,11,18,3,3,31/05/2024,31/05/2024
MII178659,Monza,Casa circondariale,411,1,696,6/17/24,Monza,Libera Maria,Vaira,Cosima,Buccoliero,Titolare,277,321,20,29,6,8,31/05/2024,31/05/2024
MII179237,Opera,Casa di reclusione - Iª casa,918,11,1291,6/17/24,Azienda Ospedaliera San Paolo Milano,Silvia,Cornalba,Silvio,Di Gregorio,Titolare,517,696,44,52,22,22,31/05/2024,31/05/2024
MII182910,Pavia,Casa circondariale,515,25,684,6/17/24,A.S.S.T. Pavia - U.O. Sanità Penitenziaria,Davide,BROGLIA,Stefania,Mussio,Titolare,210,285,19,26,7,8,31/05/2024,31/05/2024
MII181346,Sondrio,Casa circondariale,26,0,28,6/17/24,ASST Valtellina e Alto Lario,Marina,Casian,,,,29,28,2,11,1,1,31/05/2024,31/05/2024
MII181703,Varese,Casa circondariale,53,0,100,6/17/24,Azienda Ospedaliera,Domenico,Capaccioni,Carla,Santandrea,Titolare,54,67,6,13,2,2,31/05/2024,31/05/2024
MII181924,Vigevano,Casa di reclusione,242,13,345,6/17/24,PAVIA,Fabio,Canegalli,Rosalia,Marino,Titolare,200,240,14,22,6,7,31/05/2024,31/05/2024
MII173311,Catanzaro,Casa circondariale - Ugo Caridi,682,47,654,6/17/24,Azienda Sanitaria Provinciale di Catanzaro,Giulio,Di Mizio,Patrizia,Delfino,Titolare,356,470,32,37,10,10,31/05/2024,31/05/2024
MII173324,Crotone,Casa circondariale,99,0,142,6/17/24,ASP 202,Giuseppe,Varrina,Mariastella,Fedele,Titolare,65,85,11,18,3,3,31/05/2024,31/05/2024
MII177996,Locri,Casa circondariale,86,0,134,6/17/24,ASP 5 - Reggio Calabria,Severo,Gaetano,Valentina,Galati,Titolare,72,85,12,15,3,3,31/05/2024,31/05/2024
MII179342,Palmi,Casa circondariale - Filippo Salsone,141,0,179,6/17/24,10,Agesilao,Luppino,Marianna,Stendardo,Reggente,106,145,13,18,4,4,31/05/2024,31/05/2024
MII179353,Paola,Casa circondariale,181,27,193,6/17/24,paola,Pierpaolo,Greco,Emilia,Boccagna,Titolare,102,127,17,19,5,4,31/05/2024,31/05/2024
MII180415,Rossano,Casa di reclusione - Nuovo Complesso,263,3,315,6/17/24,ASP Cosenza,Dr.Giovanni,Fraia,Luigi,Spetrillo,Titolare,104,153,21,23,7,6,31/05/2024,31/05/2024
MII181908,Vibo Valentia,Casa circondariale - Nuovo Complesso,406,2,389,6/17/24,Azienda sanitaria provinciale di Vibo,Alfonso,Luciano,Angela,Marcello,Titolare,174,246,24,26,6,6,31/05/2024,31/05/2024
MII172187,Aversa,Casa di reclusione - Filippo Saporito,254,23,251,6/17/24,Caserta,Luigi,Franzese,Stella,Scialpi,Titolare,135,107,27,25,5,7,31/05/2024,31/05/2024
MII173101,Carinola,Casa di reclusione - Gian Battista Novelli,552,64,493,6/17/24,CE2,Tommaso,Castiello,Carlo,Brunetti,Titolare,163,154,26,28,6,7,31/05/2024,31/05/2024
MII173784,Eboli,Casa di reclusione,54,0,39,6/17/24,SALERNO,Virgilia,Guerriero,Concetta,Felaco,Titolare,28,27,10,14,0,3,31/05/2024,31/05/2024
MII172580,Bolzano,Casa circondariale,88,1,117,6/17/24,Alto Adige,Paolo,Conci,Giovangiuseppe,Monti,Titolare,59,75,6,20,1,4,31/05/2024,31/05/2024
MII176719,Gorizia,Casa circondariale - Angiolo Bigazzi,53,0,79,6/17/24,ASS 2 Isontina,Marcella,Bernardi,Caterina,Leva,Titolare,42,42,6,12,1,2,31/05/2024,31/05/2024
MII180426,Salerno,Casa circondariale - Antonio Caputo,376,0,574,6/17/24,Salerno,Antonio Maria,Pagano,Gabriella,Niccoli,Titolare,228,243,30,31,10,9,31/05/2024,31/05/2024
MII181079,Sant'Angelo dei Lombardi,"Casa di reclusione - Famiglietti, Forgetta, Bartolo",124,9,183,6/17/24,Avellino,Anna,Pugliese,Marianna,Adanti,Titolare,97,95,12,18,3,3,31/05/2024,31/05/2024
MII179733,Voghera,Casa circondariale - Nuovo Complesso,341,0,367,6/17/24,,,,Davide,Pisapia,Titolare,199,252,11,21,4,5,31/05/2024,31/05/2024
MII159053,Ariano Irpino,Casa circondariale - Pasquale Campanello,276,15,306,6/17/24,Avellino,Anna,Pugliese,Mariarosaria,Casaburo,Titolare,135,165,16,21,5,5,31/05/2024,31/05/2024
MII179290,Padova,Casa circondariale,188,1,192,6/17/24,6 EUGANEA,Felice Alfonso,Nava,Anastasio,Morante,Titolare,129,139,16,19,3,3,31/05/2024,31/05/2024
MII180424,Rovigo,Casa circondariale,211,7,260,6/17/24,ULSS5 Polesana,Raffaele,Geraci,Mattia,Arba,Titolare,121,123,14,19,4,4,31/05/2024,31/05/2024
MII173237,Castelfranco Emilia,Casa di reclusione,191,42,109,6/17/24,Modena,Stefano,Petrella,Maria,Martone,Titolare,66,63,14,16,3,3,31/05/2024,31/05/2024
MII174501,Fermo,Casa di reclusione,43,0,59,6/17/24,ASUR Area Vasta n.4,Gianfilippo,Pistolesi,Serena,Stoico,Titolare,45,49,10,15,2,3,31/05/2024,31/05/2024
MII181645,Treviso,Casa circondariale,138,0,239,6/17/24,ULSS N 2 Marca Trevigiana,Massimo,Fornaini,Alberto,Quagliotto,Titolare,131,165,12,17,2,3,31/05/2024,31/05/2024
MII176424,Fossombrone,Casa di reclusione,182,81,88,6/17/24,Areavasta1 Pesaro Urbino,Pierluigi,Fraternali,Daniela,Minelli,Titolare,93,129,15,19,5,6,31/05/2024,31/05/2024
MII181661,Trieste,Casa circondariale - Ernesto Mari,150,3,255,6/17/24,ASUGI,Franca,Masala,Graziano,Pujia,Titolare,120,143,20,20,5,5,31/05/2024,31/05/2024
MII181672,Udine,Casa circondariale - Antonio Santoro,95,1,157,6/17/24,A.S.S. Friuli Centrale n. 4,Luigi,Canciani,Tiziana,Paolini,Titolare,87,115,14,17,4,4,31/05/2024,31/05/2024
MII179818,Pesaro,Casa circondariale,153,2,247,6/17/24,1 Pesaro,Pierluigi,Fraternali,Annalisa,Gasparro,Titolare,144,188,15,18,4,4,31/05/2024,31/05/2024
MII181863,Venezia Santa Maria Maggiore,Casa circondariale,159,0,245,6/17/24,ULSS 3 Serenissima,Vincenzo,De Nardo,Enrico,Farina,Titolare,146,174,15,18,5,5,31/05/2024,31/05/2024
MII180487,Santa Maria Capua Vetere,Casa circondariale - Francesco Uccella,818,125,969,6/17/24,Caserta Distretto Sanitario 21,Palmiero,Nicola,Donatella Filomena,Rotundo,Titolare,472,470,44,42,13,13,31/05/2024,31/05/2024
MII179913,Pordenone,Casa circondariale,37,0,50,6/17/24,Azienda Sanitaria Friuli Occidentale,Barbara,Miglietta,Leandro Salvatore,Lamonaca,Titolare,40,53,10,13,2,2,31/05/2024,31/05/2024
MII159065,Ascoli Piceno,Casa circondariale,103,4,117,6/17/24,Marche 5,Giovanna,Picciotti,Daniela,Valentini,Titolare,137,162,17,16,3,3,31/05/2024,31/05/2024
MII181847,Venezia Giudecca,Casa di reclusione femminile,112,0,91,6/17/24,3 Serenissima,Vincenzo,De Nardo,Mariagrazia Felicita,Bregoli,Titolare,99,135,13,20,5,4,31/05/2024,31/05/2024
MII182440,Avezzano,Casa circondariale,53,2,70,6/17/24,Asl 1 Abruzzo Avezzano-Sulmona-L'Aquila,Fausto,Frabotta,Maria Celeste,D'Orazio,Titolare,30,43,8,12,2,2,31/05/2024,31/05/2024
MII173088,Campobasso,Casa circondariale,106,12,152,6/17/24,Campobasso,Pasquale,Del Greco,,,,91,112,9,14,2,3,31/05/2024,31/05/2024
