id_istituto,codice_istituto,nome_istituto,tipo_istituto,latitudine,longitude,id_provveditorato,nome_provveditorato,indirizzo,telefono
MII179988,HH44,Reggio Calabria Arghillà,Casa circondariale,38.1929515,15.681926617,8,Calabria,Contrada Rugola n. snc - 89135 Reggio Calabria,+39 0965 670031
MII172610,BB43,Brescia Verziano,Casa di reclusione,45.4996058,10.18776766,1,Lombardia,Via Flero n.157 - 25124 Brescia,+39 030 3580386
MII172320,BB16,Busto Arsizio,Casa circondariale,45.6119057,8.8520522,1,Lombardia,Via per Cassano Magnago n.102 - 21052 Busto Arsizio,+39  0331 685777
MII173712,BB17,Como,Casa circondariale,45.9394759,9.14941015,1,Lombardia,Via Bassone n.11 - 22100 Como,+39  031 590848
MII173747,BB18,Cremona,Casa circondariale,45.1334796,10.0248716,1,Lombardia,Via Palosca n.2 - 26100 Cremona,+39  0372 450505
MII177436,BB19,Lecco,Casa circondariale,45.8553764,9.389605,1,Lombardia,Via Cesare Beccaria n.9 - 23900 Lecco,+39   0341 22821
MII178027,BB20,Lodi,Casa circondariale,45.3138959,9.503263,1,Lombardia,Via Cagnola n.2 - 26900 Lodi,+39  0371 420214
MII178072,BB21,Mantova,Casa circondariale,45.1566683,10.7917191,1,Lombardia,Via C. Poma n.3 - 46100 Mantova,+39  0376 328829
MII178659,BB22,Monza,Casa circondariale,45.5604241,9.28125258,1,Lombardia,Via Sanquirico n.6 - 20900 Monza,+39 039 839691
MII179237,BB39,Opera,Casa di reclusione,45.373069,9.211149,1,Lombardia,Via Camporgnago n.40 - 20090 Milano,+39  02 576841
MII182910,BB23,Pavia,Casa circondariale,45.2073703,9.17887325,1,Lombardia,Via Vigentina n.85 - 27100 Pavia,+39   0382 574701
MII181346,BB24,Sondrio,Casa circondariale,46.32336235,10.25841367,1,Lombardia,Via Antonio Caimi n.80 - 23100 Sondrio,+39  034 2212031
MII181703,BB25,Varese,Casa circondariale,45.8175359,8.8263438,1,Lombardia,Via Felicita Morandi n.5 - 21100 Varese,+39  0332 283708
MII181924,BB26,Vigevano,Casa di reclusione,45.3211074,8.8114587,1,Lombardia,Via Gravellona n.240 - 27029 Vigevano,+39  0381 325760
MII179733,BB37,Voghera,Casa circondariale,44.9978954,8.9925217,1,Lombardia,Via Prati Nuovi n.7 - 27058 Voghera,+39   0383 212222
MII173311,HH11,Catanzaro,Casa circondariale,38.9076353,16.5960465,8,Calabria,Via Tre Fontane n.28 - 88100 Catanzaro,+39 0961 469593
MII173324,HH39,Crotone,Casa circondariale,39.0806223,17.127196,8,Calabria,Localit&agrave; Passovecchio n.1 - 88900 Crotone,+39  0962 930013
MII177996,HH06,Locri,Casa circondariale,38.2385368,16.2655092,8,Calabria,Via Vittorio Veneto n.71 - 89044 Locri,+39 0964 20139
MII179342,HH19,Palmi,Casa circondariale,38.3673254,15.8589302,8,Calabria,Via Trodio n.1 - 89015 Palmi,+39 0966 46741
MII179353,HH20,Paola,Casa circondariale,39.359893,16.039588,8,Calabria,Via Paolino Maria Quattrone n.1 - 87027 Paola,+39 0982 848487
MII180415,HH41,Rossano,Casa di reclusione,39.5746821,16.6348647,8,Calabria,Contrada Ciminata n. snc - 87067 Rossano,+39  0983 510555
MII181908,HH07,Vibo Valentia,Casa circondariale,38.677407,16.0924801,8,Calabria,Contrada Cocari n. snc - 89900 Vibo Valentia,+39  0963 262122
MII159053,FF30,Ariano Irpino,Casa circondariale,41.1280699,15.08169876,6,Campania,Via Grignano n. 60 - 83031 Ariano Irpino,+39 0825 891261
MII172187,FF03,Aversa,Casa di reclusione,40.973212,14.204928,6,Campania,Via San Francesco da Paola n.2 - 81031 Aversa,+39 081 8155111
MII173101,FF29,Carinola,Casa di reclusione,41.186987,13.9812129,6,Campania,Via provinciale San Biagio n.6 - 81030 CARINOLA,+39 0823 939311
MII173784,FF64,Eboli,Casa di reclusione,40.6175146,15.0569438,6,Campania,Via Castello n.10 - 84025 Eboli,+39  0828 620811
MII172580,CC03,Bolzano,Casa circondariale,46.49177448,11.34681702,2,"Veneto, Trentino, Friuli Venezia Giulia",Via Dante n. 28/a -  39100 Bolzano,+39   0471 976712
MII176719,CC14,Gorizia,Casa circondariale,45.9441278,13.6252288,2,"Veneto, Trentino, Friuli Venezia Giulia",Via G. Barzellini n 8 - 34170 Gorizia,+39   0481 535028
MII180426,FF11,Salerno,Casa circondariale,40.6521175,14.85032945,6,Campania,Via del Tonnazzo n.1 - 84100 Salerno,+39  089 301722
MII181079,FF68,Sant'Angelo dei Lombardi,Casa di reclusione,40.9101396,15.1892849,6,Campania,C. da Selvatico n. SNC - 83054 Sant'Angelo dei Lombardi,+39 0827 24124
MII179290,CC18,Padova,Casa circondariale,45.4451533,11.84137093,2,"Veneto, Trentino, Friuli Venezia Giulia",Via Due Palazzi n.25/A - 35136 Padova,+39  049 713788
MII180487,FF04,Santa Maria Capua Vetere,Casa circondariale,41.04325675,14.23503914,6,Campania,Strada Statale Appia 7 bis Km. 6+500 n. snc - 81055 Santa Maria Capua Vetere,+39 0823 846384
MII179913,CC13,Pordenone,Casa circondariale,45.9561032,12.66265692,2,"Veneto, Trentino, Friuli Venezia Giulia",Piazza della Motta n.10 - 33170 Pordenone,+39     0434 520148
MII180424,CC31,Rovigo,Casa circondariale,45.0843329,11.81300853,2,"Veneto, Trentino, Friuli Venezia Giulia",Strada regionale 443 Dir. n.2 - 45100 Rovigo,+39 0425 3693111
MII159065,EE27,Ascoli Piceno,Casa circondariale,42.8546185,13.5755038,3,"Emilia Romagna, Marche",Via dei meli n.218 - 63100 Ascoli Piceno,+39 0736 402141
MII173237,BB07,Castelfranco Emilia,Casa di reclusione,44.5950245,11.0529006,3,"Emilia Romagna, Marche",Via Forte Urbano n.1 - 41013 Castelfranco Emilia,+39  059 926404
MII174501,EE16,Fermo,Casa di reclusione,43.0922489,13.63876807,3,"Emilia Romagna, Marche",Viale XX Giugno n.1/3 - 63900 Fermo,+39 073 4624023
MII181645,CC07,Treviso,Casa circondariale,45.67301695,12.23006239,2,"Veneto, Trentino, Friuli Venezia Giulia",Via Santa Bona Nuova n.5/B - 31100 Treviso,+39   0422 431167
MII176424,EE14,Fossombrone,Casa di reclusione,43.68773585,12.8229332,3,"Emilia Romagna, Marche",Viale Leopardi n.2 - 61034 Fossombrone,+39  0721 715569
MII181661,CC02,Trieste,Casa circondariale,45.6556788,13.78073313,2,"Veneto, Trentino, Friuli Venezia Giulia",Via Coroneo n. 26/28 - 34133 Trieste,+39    040 635044
MII181672,CC10,Udine,Casa circondariale,46.06711525,13.24805433,2,"Veneto, Trentino, Friuli Venezia Giulia",Via Spalato n. 30 - 33100 Udine,+39     0432 502211
MII179818,EE24,Pesaro,Casa circondariale,43.8735952,12.85524221,3,"Emilia Romagna, Marche",Strada Fontesecco n.88 - 61122 Pesaro,+39  0721 281986
MII181863,CC16,Venezia Santa Maria Maggiore,Casa circondariale,45.435422,12.31724323,2,"Veneto, Trentino, Friuli Venezia Giulia",Santa Croce n.324 - 30135  Venezia,+39   041 5204811
MII181847,CC19,Venezia Giudecca,Casa di reclusione femminile,45.42608215,12.31826224,2,"Veneto, Trentino, Friuli Venezia Giulia",S. Eufemia n.712 - 30133 Venezia,+39   041 5204033
MII181891,CC17,Verona,Casa circondariale,45.44345285,11.04808194,2,"Veneto, Trentino, Friuli Venezia Giulia",Via San Michele n.15 - 37141 Verona,+39    045 8921066
MII182440,EE10,Avezzano,Casa circondariale,42.0347963,13.4265048,5,"Lazio, Abruzzo, Molise",Via San Francesco n.8 - 67051 Avezzano,+39   0863 45021
MII173088,FF12,Campobasso,Casa circondariale,41.555686,14.66172195,5,"Lazio, Abruzzo, Molise",Via Cavour n. 52 - 86100 Campobasso,+39 0874 411053
MII157783,AA26,Alba,Casa di reclusione,44.691542,8.025636,0,"Val D'Aosta, Piemonte, Liguria",Loc.Toppino - Via Vivaro n. 14 - 12051 Alba,+39 0173 362228
MII173114,EE06,Cassino,Casa circondariale,41.4925576,13.8305297,5,"Lazio, Abruzzo, Molise",Via Sferracavalli n 3 - 03043 Cassino,+39  0776 21019
MII173364,EE17,Chieti,Casa circondariale,42.3446529,14.1659738,5,"Lazio, Abruzzo, Molise",Via Ettore Ianni n.30 - 66100 Chieti,+39  0871 344034
MII159069,AA10,Asti,Casa di reclusione,44.900542,8.2068876,0,"Val D'Aosta, Piemonte, Liguria",Frazione Quarto Inferiore n. 266 14100 Asti,+39 0141 293731
MII173688,EE03,Civitavecchia Giuseppe Passerini,Casa di reclusione,42.0989856,11.78675481,5,"Lazio, Abruzzo, Molise",Via Tarquinia n. 20 - 00053 Civitavecchia,+39   0766 50821
