prison_id,institute_name,institute_type,posti_regolamentari,posti_non_disponibili,totale_detenuti,dati_aggiornati_al,asl,nome_responsabile_asl,cognome_responsabile_asl,nome_direttore,cognome_direttore,ruolo_direttore,polizia_penitenziaria_effettivi,polizia_penitenziaria_previsti,amministrativi_effettivi,amministrativi_previsti,educatori_effettivi,educatori_previsti,personale_polizia_aggiornato_a,personale_amministrativo_aggiornato_al,data_extracted_on,id,nome,tipo,posti_occupati,posti_aggiornati_al,personale_polizia_effettivi,personale_polizia_previsti,personale_amministrativi_effettivi,personale_amministrativi_previsti,personale_educatori_effettivi,personale_educatori_previsti
MII179988,Reggio Calabria Arghillà,Casa circondariale,294,0,353.0,17/06/2024,5 Reggio Calabria,Luciano,Lucania,Marianna,Stendardo,Titolare,133.0,160.0,12.0,32.0,5.0,8.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII172610,Brescia Verziano,Casa di reclusione,71,0,123.0,17/06/2024,Spedali Civili di Brescia,Luigi,Leone,,,,77.0,96.0,2.0,0.0,1.0,0.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII172320,Busto Arsizio,Casa circondariale,240,11,440.0,17/06/2024,Busto Arsizio,Ezia,Iorio,Maria,Pitaniello,Titolare,180.0,217.0,14.0,21.0,3.0,5.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII173712,Como,Casa circondariale,226,0,433.0,17/06/2024,Como,Giuseppe,Carrano,Fabrizio,Rinaldi,Titolare,181.0,236.0,15.0,23.0,3.0,6.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII173747,Cremona,Casa circondariale,394,10,577.0,17/06/2024,CREMONA,Rossano,Botto,Rossella,Padula,Titolare,169.0,223.0,16.0,23.0,6.0,6.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII177436,Lecco,Casa circondariale,53,0,71.0,17/06/2024,Ospedale Lecco,Vaira,Libera Maria,Luisa,Mattina,Titolare,37.0,42.0,6.0,14.0,2.0,2.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII178027,Lodi,Casa circondariale,45,0,81.0,17/06/2024,Lodi,Concettina,Varango,Annalaura,Confuorto,Titolare,42.0,45.0,11.0,13.0,3.0,2.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII178072,Mantova,Casa circondariale,97,3,148.0,17/06/2024,ASST Mantova,Laura,Mannarini,Metella Romana,Pasquini Peruzzi,Titolare,70.0,80.0,11.0,18.0,3.0,3.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII178659,Monza,Casa circondariale,411,1,696.0,17/06/2024,Monza,Libera Maria,Vaira,Cosima,Buccoliero,Titolare,277.0,321.0,20.0,29.0,6.0,8.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII179237,Opera,Casa di reclusione - Iª casa,918,11,1291.0,17/06/2024,Azienda Ospedaliera San Paolo Milano,Silvia,Cornalba,Silvio,Di Gregorio,Titolare,517.0,696.0,44.0,52.0,22.0,22.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII182910,Pavia,Casa circondariale,515,25,684.0,17/06/2024,A.S.S.T. Pavia - U.O. Sanità Penitenziaria,Davide,BROGLIA,Stefania,Mussio,Titolare,210.0,285.0,19.0,26.0,7.0,8.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII181346,Sondrio,Casa circondariale,26,0,28.0,17/06/2024,ASST Valtellina e Alto Lario,Marina,Casian,,,,29.0,28.0,2.0,11.0,1.0,1.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII181703,Varese,Casa circondariale,53,0,100.0,17/06/2024,Azienda Ospedaliera,Domenico,Capaccioni,Carla,Santandrea,Titolare,54.0,67.0,6.0,13.0,2.0,2.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII181924,Vigevano,Casa di reclusione,242,13,345.0,17/06/2024,PAVIA,Fabio,Canegalli,Rosalia,Marino,Titolare,200.0,240.0,14.0,22.0,6.0,7.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII179733,Voghera,Casa circondariale - Nuovo Complesso,341,0,367.0,17/06/2024,,,,Davide,Pisapia,Titolare,199.0,252.0,11.0,21.0,4.0,5.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII173311,Catanzaro,Casa circondariale - Ugo Caridi,682,47,654.0,17/06/2024,Azienda Sanitaria Provinciale di Catanzaro,Giulio,Di Mizio,Patrizia,Delfino,Titolare,356.0,470.0,32.0,37.0,10.0,10.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII173324,Crotone,Casa circondariale,99,0,142.0,17/06/2024,ASP 202,Giuseppe,Varrina,Mariastella,Fedele,Titolare,65.0,85.0,11.0,18.0,3.0,3.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII177996,Locri,Casa circondariale,86,0,134.0,17/06/2024,ASP 5 - Reggio Calabria,Severo,Gaetano,Valentina,Galati,Titolare,72.0,85.0,12.0,15.0,3.0,3.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII179342,Palmi,Casa circondariale - Filippo Salsone,141,0,179.0,17/06/2024,10,Agesilao,Luppino,Marianna,Stendardo,Reggente,106.0,145.0,13.0,18.0,4.0,4.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
