id,nome,tipo,posti_regolamentari,posti_non_disponibili,posti_occupati,posti_aggiornati_al,asl,nome_responsabile_asl,cognome_responsabile_asl,nome_direttore,cognome_direttore,ruolo_direttore,personale_polizia_effettivi,personale_polizia_previsti,personale_amministrativi_effettivi,personale_amministrativi_previsti,personale_educatori_effettivi,personale_educatori_previsti,personale_polizia_aggiornato_a,personale_amministrativo_aggiornato_al
MII179988,Reggio Calabria Arghillà,Casa circondariale,294,0,319,05/10/2024,5 Reggio Calabria,Luciano,Lucania,Marianna,Stendardo,Titolare,131,164,12,32,5,8,31/07/2024,31/07/2024
MII172610,Brescia Verziano,Casa di reclusione,71,0,119,05/10/2024,Spedali Civili di Brescia,Luigi,Leone,,,,79,95,2,0,1,0,31/07/2024,31/07/2024
MII172320,Busto Arsizio,Casa circondariale,240,14,431,05/10/2024,Busto Arsizio,Ezia,Iorio,Maria,Pitaniello,Titolare,193,190,16,21,5,5,31/07/2024,31/07/2024
MII173712,Como,Casa circondariale,226,1,426,05/10/2024,Como,Giuseppe,Carrano,Fabrizio,Rinaldi,Titolare,208,216,18,23,6,6,31/07/2024,31/07/2024
MII173747,Cremona,Casa circondariale,394,10,586,05/10/2024,CREMONA,Rossano,Botto,Rossella,Padula,Titolare,188,202,15,23,5,6,31/07/2024,31/07/2024
MII177436,Lecco,Casa circondariale,53,0,85,05/10/2024,Ospedale Lecco,Vaira,Libera Maria,Luisa,Mattina,Titolare,39,38,6,14,2,2,31/07/2024,31/07/2024
MII178027,Lodi,Casa circondariale,45,1,87,05/10/2024,Lodi,Concettina,Varango,Annalaura,Confuorto,Titolare,44,44,11,13,3,2,31/07/2024,31/07/2024
MII178072,Mantova,Casa circondariale,97,0,149,05/10/2024,ASST Mantova,Laura,Mannarini,Metella Romana,Pasquini Peruzzi,Titolare,68,72,11,18,3,3,31/07/2024,31/07/2024
MII178659,Monza,Casa circondariale,411,2,729,05/10/2024,Monza,Libera Maria,Vaira,Cosima,Buccoliero,Titolare,283,296,19,29,6,8,31/07/2024,31/07/2024
MII182910,Pavia,Casa circondariale,515,1,684,05/10/2024,A.S.S.T. Pavia - U.O. Sanità Penitenziaria,Davide,BROGLIA,Stefania,Mussio,Titolare,289,255,21,26,9,8,31/07/2024,31/07/2024
