name_toclean,name_match,count
avezzano  casa circondariale,avezzano casa circondariale,3
l'aquila  casa circondariale,l'aquila casa circondariale,3
sulmona  casa di reclusione,sulmona casa di reclusione,4
chieti  casa circondariale,chieti casa circondariale,3
lanciano  casa circondariale,lanciano casa circondariale,3
vasto  casa di lavoro,vasto casa di lavoro,4
pescara  casa circondariale,pescara casa circondariale,3
teramo  casa circondariale,teramo casa circondariale,3
matera  casa circondariale,matera casa circondariale,3
melfi  casa circondariale,melfi casa circondariale,3
"potenza ""a. santoro"" casa circondariale",potenza casa circondariale,3
"castrovillari ""r. sisca"" casa circondariale",castrovillari casa circondariale,3
"cosenza ""s. cosmai"" casa circondariale",cosenza casa circondariale,3
paola  casa circondariale,paola casa circondariale,3
"rossano ""n.c."" casa di reclusione",rossano casa di reclusione,4
"catanzaro ""u. caridi"" casa circondariale",catanzaro casa circondariale,3
crotone  casa circondariale,crotone casa circondariale,3
"laureana di borrello ""l. daga"" casa di reclusione",laureana di borrello casa di reclusione,5
locri  casa circondariale,locri casa circondariale,3
"palmi ""f. salsone"" casa circondariale",palmi casa circondariale,3
"reggio calabria ""arghilla'"" casa circondariale",reggio calabria arghillà casa circondariale,4
"reggio calabria ""g. panzera"" casa circondariale",reggio calabria giuseppe panzera casa circondariale,5
"vibo valentia ""n.c."" casa circondariale",vibo valentia casa circondariale,4
"ariano irpino ""p. campanello"" casa circondariale",ariano irpino casa circondariale,4
"avellino ""a. graziano"" bellizzi casa circondariale",avellino casa circondariale,3
lauro  istituto custodia attenuata per madri,lauro istituto custodia attenuata per madri,6
"sant'angelo dei lombardi ""l.famiglietti - r.forgetta - g.bartolo"" casa di reclusione",sant'angelo dei lombardi casa di reclusione,6
benevento  casa circondariale,benevento casa circondariale,3
"arienzo ""g. de angelis"" casa circondariale",arienzo casa circondariale gennaro de angelis,5
"aversa ""f. saporito"" casa di reclusione",aversa casa di reclusione,4
"carinola ""g.b. novelli"" casa di reclusione",carinola casa di reclusione,4
"santa maria capua vetere ""f. uccella"" casa circondariale",santa maria capua vetere casa circondariale,6
"napoli ""g. salvia"" poggioreale casa circondariale",napoli poggioreale casa circondariale,4
"napoli ""p. mandato"" secondigliano casa circondariale",napoli secondigliano casa circondariale,4
pozzuoli  casa circondariale femminile,pozzuoli casa circondariale femminile,4
eboli  casa di reclusione,eboli casa di reclusione,4
"salerno ""a. caputo"" casa circondariale",salerno casa circondariale,3
