id,nome,indirizzo,tipo,posti_regolamentari,posti_non_disponibili,posti_reali,tasso_affollamento,posti_occupati,posti_aggiornati_al,personale_polizia_previsti,personale_polizia_effettivi,personale_polizia_aggiornato_a,personale_amministrativi_previsti,personale_amministrativi_effettivi,personale_amministrativo_aggiornato_al,latitudine,longitude
MII152284,Genova Marassi,Piazzale Marassi n.2 - 16139 Genova,Casa circondariale,535,0,535,1.26,674,2024-10-05,336,357,2024-07-31,35,26,2024-07-31,44.4179134,8.9511004
MII157783,Alba,Loc.Toppino - Via Vivaro n. 14 - 12051 Alba,Casa di reclusione - Giuseppe Montalto,138,89,49,0.78,38,2024-10-05,107,88,2024-07-31,14,10,2024-07-31,44.691542,8.025636
MII158895,Milano San Vittore,Piazza Filangieri n.2 - 20123 Milano,Casa circondariale - Francesco Di Cataldo,700,254,446,2.27,1014,2024-10-05,655,583,2024-07-31,45,35,2024-07-31,45.4615979,9.16639949
MII158901,Belluno,Via Baldenich n.11 - 32100 Belluno,Casa circondariale,89,7,82,1.28,105,2024-10-05,85,81,2024-07-31,14,8,2024-07-31,46.1397378,12.2192968
MII158910,Agrigento,Piazza Di Lorenzo n. 1 -  92100 Agrigento,Casa circondariale - Pasquale Di Lorenzo,283,4,279,1.39,387,2024-10-05,197,217,2024-07-31,23,23,2024-07-31,37.31942185,13.61739575
MII158919,"Alessandria Cantiello, Gaeta",Piazza Don Soria n. 13 - 15121 Alessandria,Casa circondariale,233,23,210,0.99,207,2024-10-05,127,133,2024-07-31,33,11,2024-07-31,44.9129225,8.615321
MII158924,Alessandria San Michele,Strada Statale per Casale n.50/A - 15121 Alessandria,Casa di reclusione,265,1,264,1.4,369,2024-10-05,210,183,2024-07-31,0,14,2024-07-31,44.9129225,8.615321
MII158935,Alghero,Via Vittorio Emanuele n.28 - 07041 Alghero,Casa di reclusione - Giuseppe Tomasiello,156,0,156,0.55,86,2024-10-05,79,69,2024-07-31,16,13,2024-07-31,40.5600205,8.3151473
MII158941,Ancona Montacuto,Via Montecavallo di Montacuto n.73/a - 60129 Ancona,Casa circondariale,256,0,256,1.29,330,2024-10-05,175,138,2024-07-31,31,18,2024-07-31,43.61934,13.52788
MII158944,Ancona Barcaglione,Via Colle Ameno n.25 - 60126 Ancona,Casa di reclusione,100,0,100,0.96,96,2024-10-05,60,56,2024-07-31,0,8,2024-07-31,43.61336,13.44018
MII158945,Arbus,Localit&agrave; Bau  -  09031 Arbus,Casa di reclusione - località Is Arenas,176,50,126,0.74,93,2024-10-05,81,65,2024-07-31,20,13,2024-07-31,39.4987508,8.47964289
MII158948,Arezzo,Via Garibaldi n.259 - 52100 Arezzo,Casa circondariale,108,84,24,1.38,33,2024-10-05,38,30,2024-07-31,15,12,2024-07-31,43.4628957,11.8781675
MII159053,Ariano Irpino,Via Grignano n. 60 - 83031 Ariano Irpino,Casa circondariale - Pasquale Campanello,276,18,258,1.21,311,2024-10-05,165,144,2024-07-31,21,15,2024-07-31,41.1280699,15.08169876
MII159060,Arienzo,Via Nazionale Appia Km 230+600 n.7 - 81021 Arienzo,Casa di reclusione - Gennaro De Angelis,58,0,58,1.72,100,2024-10-05,43,48,2024-07-31,13,11,2024-07-31,41.0242566,14.4970522
MII159065,Ascoli Piceno,Via dei meli n.218 - 63100 Ascoli Piceno,Casa circondariale,103,4,99,1.25,124,2024-10-05,152,144,2024-07-31,16,18,2024-07-31,42.8546185,13.5755038
MII159069,Asti,Frazione Quarto Inferiore n. 266 14100 Asti,Casa di reclusione,205,1,204,1.28,261,2024-10-05,167,166,2024-07-31,22,12,2024-07-31,44.900542,8.2068876
MII159314,Augusta,Contrada Piano Ippolito n.1 - 96011 Augusta,Casa di reclusione,364,22,342,1.59,544,2024-10-05,224,166,2024-07-31,29,24,2024-07-31,37.2369363,15.2196575
MII160204,Benevento,Via Ermete Novelli n.11 -  82100 Benevento,Casa circondariale - Michele Gaglione,259,7,252,1.6,404,2024-10-05,217,218,2024-07-31,23,29,2024-07-31,41.1295587,14.7824639
MII169535,Rieti,Via Maestri del lavoro n.2 - 02100 Rieti,Casa circondariale - Nuovo Complesso,295,24,271,1.88,510,2024-10-05,175,140,2024-07-31,23,22,2024-07-31,42.4016906,12.8629993
MII172011,Avellino,Frazione Bellizzi Irpino - Contrada Sant'Oronzo n.1 -  83100 Avellino,Casa circondariale - Antimo Graziano Bellizzi,503,0,503,1.24,623,2024-10-05,263,292,2024-07-31,34,28,2024-07-31,40.9141958,14.7888764
MII172187,Aversa,Via San Francesco da Paola n.2 - 81031 Aversa,Casa di reclusione - Filippo Saporito,254,20,234,1.07,251,2024-10-05,105,133,2024-07-31,25,28,2024-07-31,40.973212,14.204928
MII172208,Civitavecchia Nuovo Complesso,"Via Aurelia nord km 79,500 n. snc - 00053 Civitavecchia",Casa circondariale,357,46,311,1.74,540,2024-10-05,261,241,2024-07-31,35,23,2024-07-31,42.0937524,11.7922462
MII172222,Barcellona Pozzo di Gotto,Via V. Madia n.31 - 98051 Barcellona Pozzo di Gotto,Casa circondariale - Vittorio Madia,414,142,272,0.75,205,2024-10-05,169,142,2024-07-31,26,26,2024-07-31,38.15123,15.2278876
MII172277,Altamura,Via dell'Uva Spina n.18 - 70022 Altamura,Casa di reclusione,52,1,51,1.59,81,2024-10-05,0,39,2024-07-31,0,6,2024-07-31,40.8283631,16.5523505
MII172320,Busto Arsizio,Via per Cassano Magnago n.102 - 21052 Busto Arsizio,Casa circondariale,240,14,226,1.91,431,2024-10-05,190,193,2024-07-31,21,16,2024-07-31,45.6119057,8.8520522
MII172332,Biella,Viale dei Tigli n.14 - 13900 Biella,Casa circondariale,394,4,390,1.11,432,2024-10-05,210,199,2024-07-31,26,15,2024-07-31,45.5664109,8.0542758
MII172344,Bollate,Via Cristina Belgioioso n.120 20157 - Milano,Casa di reclusione - IIª casa,1267,1,1266,1.13,1434,2024-10-05,502,419,2024-07-31,55,40,2024-07-31,45.543835,9.1177075
MII172508,Bologna,Via del Gomito n. 2 - 40127 Bologna,Casa circondariale - Rocco D'Amato,503,14,489,1.68,823,2024-10-05,462,425,2024-07-31,35,29,2024-07-31,44.4936714,11.3430347
MII172580,Bolzano,Via Dante n. 28/a -  39100 Bolzano,Casa circondariale,88,3,85,1.2,102,2024-10-05,77,61,2024-07-31,20,6,2024-07-31,46.49177448,11.34681702
MII172592,Brescia Canton Monbello,Via Spalto San Marco n 20 - 25121 Brescia,Casa circondariale - Nerio Fischione,182,0,182,2.07,377,2024-10-05,197,187,2024-07-31,30,18,2024-07-31,45.5325399,10.2340676
MII172610,Brescia Verziano,Via Flero n.157 - 25124 Brescia,Casa di reclusione,71,0,71,1.68,119,2024-10-05,95,79,2024-07-31,0,2,2024-07-31,45.4996058,10.18776766
MII172623,Brindisi,Via Appia n.131 - 72100 Brindisi,Casa circondariale,152,33,119,1.76,210,2024-10-05,141,127,2024-07-31,18,21,2024-07-31,40.6395295,17.945526
MII172814,Brissogne - Aosta,"Loc. Les Iles, 14 n.14  - 761900 Brissogne",Casa circondariale,181,7,174,0.77,134,2024-10-05,138,123,2024-07-31,15,5,2024-07-31,45.7285199,7.4066634
MII172827,Bergamo,via Monte Gleno n.61 - 24125 Bergamo,Casa circondariale,319,1,318,1.81,575,2024-10-05,221,209,2024-07-31,23,14,2024-07-31,45.7566557,9.7542192
MII172835,Cagliari Uta,Zona industriale Macchiareddu 2&deg; strada ovest Uta n.0 - 09010 Cagliari,Casa circondariale - Ettore Scalas,561,0,561,1.3,730,2024-10-05,394,319,2024-07-31,41,32,2024-07-31,39.1694193,8.93944903
