id istituto,nome istituto,tasso di affollamento,indirizzo,tipo istituto,posti regolamentari,posti non disponibili,posti disponibili,totale detenuti,dati aggiornati al,polizia penitenziaria - previsti,polizia penitenziaria - effettivi,personale polizia penitenziaria aggiornato al,amministrativi - effettivi,amministrativi - previsti,personale amministrativo aggiornato al,numero complessivo,numero non disponibili,doccia,bidet,portatori di handicap,servizi igienici con porta,accensione luce autonoma,prese elettriche,data di aggiornamento spazi detentivi,latitudine,longitude,scheda istituto,stanze_disponibili,detenuti_stanza,polizia_pers,doccia_pers,bidet_pers,servizi_pers,luci_pers,prese_pers
MII152284,Genova Marassi,125.0,Piazzale Marassi n.2 - 16139 Genova,Casa circondariale,535,1,534,669,2025-03-08,336,323,2025-12-31,0,0,,213.0,1.0,128.0,175.0,3.0,213.0,100.0,0.0,2025-03-08,44.4179134,8.9511004,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII152284"">Vai alla scheda istituto</a>",212.0,3.16,0.48,5.23,3.82,3.14,6.69,
MII157783,Alba,94.0,Loc.Toppino - Via Vivaro n. 14 - 12051 Alba,Casa di reclusione - Giuseppe Montalto,138,89,49,46,2025-03-08,107,86,2025-12-31,12,14,2025-12-31,112.0,86.0,22.0,112.0,1.0,112.0,22.0,22.0,2025-03-08,44.691542,8.025636,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII157783"">Vai alla scheda istituto</a>",26.0,1.77,1.87,2.09,0.41,0.41,2.09,2.09
MII158895,Milano San Vittore,220.0,Piazza Filangieri n.2 - 20123 Milano,Casa circondariale - Francesco Di Cataldo,702,232,470,1034,2025-03-08,655,546,2025-12-31,37,45,2025-12-31,492.0,178.0,272.0,184.0,0.0,327.0,325.0,325.0,2025-03-08,45.4615979,9.16639949,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII158895"">Vai alla scheda istituto</a>",314.0,3.29,0.53,3.8,5.62,3.16,3.18,3.18
MII158901,Belluno,144.0,Via Baldenich n.11 - 32100 Belluno,Casa circondariale,89,9,80,115,2025-03-08,85,79,2025-12-31,9,14,2025-12-31,50.0,8.0,20.0,20.0,0.0,50.0,40.0,40.0,2025-03-08,46.1397378,12.2192968,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII158901"">Vai alla scheda istituto</a>",42.0,2.74,0.69,5.75,5.75,2.3,2.88,2.88
MII158910,Agrigento,139.0,Piazza Di Lorenzo n. 1 -  92100 Agrigento,Casa circondariale - Pasquale Di Lorenzo,283,23,260,361,2025-03-08,197,207,2025-12-31,21,23,2025-12-31,247.0,22.0,192.0,42.0,0.0,247.0,228.0,0.0,2025-03-08,37.31942185,13.61739575,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII158910"">Vai alla scheda istituto</a>",225.0,1.6,0.57,1.88,8.6,1.46,1.58,
MII158919,"Alessandria Cantiello, Gaeta",100.0,Piazza Don Soria n. 13 - 15121 Alessandria,Casa circondariale,233,0,233,233,2025-03-08,127,127,2025-12-31,13,34,2025-12-31,75.0,0.0,5.0,74.0,0.0,75.0,75.0,0.0,2025-03-08,44.9129225,8.615321,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII158919"">Vai alla scheda istituto</a>",75.0,3.11,0.55,46.6,3.15,3.11,3.11,
MII158924,Alessandria San Michele,139.0,Strada Statale per Casale n.50/A - 15121 Alessandria,Casa di reclusione,265,4,261,362,2025-03-08,210,176,2025-12-31,14,0,2025-12-31,241.0,4.0,7.0,63.0,0.0,241.0,241.0,241.0,2025-03-08,44.9129225,8.615321,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII158924"">Vai alla scheda istituto</a>",237.0,1.53,0.49,51.71,5.75,1.5,1.5,1.5
MII158935,Alghero,50.0,Via Vittorio Emanuele n.28 - 07041 Alghero,Casa di reclusione - Giuseppe Tomasiello,156,0,156,78,2025-03-08,79,70,2025-12-31,13,16,2025-12-31,62.0,0.0,62.0,0.0,0.0,62.0,62.0,62.0,2025-03-08,40.5600205,8.3151473,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII158935"">Vai alla scheda istituto</a>",62.0,1.26,0.9,1.26,,1.26,1.26,1.26
MII158941,Ancona Montacuto,132.0,Via Montecavallo di Montacuto n.73/a - 60129 Ancona,Casa circondariale,256,0,256,338,2025-03-08,175,121,2025-12-31,19,31,2025-12-31,111.0,0.0,102.0,98.0,3.0,111.0,101.0,101.0,2025-03-08,43.61934,13.52788,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII158941"">Vai alla scheda istituto</a>",111.0,3.05,0.36,3.31,3.45,3.05,3.35,3.35
MII158944,Ancona Barcaglione,93.0,Via Colle Ameno n.25 - 60126 Ancona,Casa di reclusione,100,0,100,93,2025-03-08,60,59,2025-12-31,8,0,2025-12-31,98.0,0.0,24.0,0.0,0.0,98.0,98.0,98.0,2025-03-08,43.61336,13.44018,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII158944"">Vai alla scheda istituto</a>",98.0,0.95,0.63,3.88,,0.95,0.95,0.95
