dati aggiornati al,posti regolamentari,posti non disponibili,posti disponibili,totale detenuti,tasso di affollamento
2024-10-05,51196,4384,46812,61880,132.1883
2024-10-06,51196,4384,46812,61912,132.2567
2024-10-07,51196,4441,46755,61846,132.2768
2024-10-09,51195,4439,46756,61863,132.3103
2024-10-10,51195,4437,46758,61843,132.2619
2024-10-11,51199,4441,46758,61846,132.2683
2024-10-12,51199,4439,46760,61885,132.346
2024-10-13,51199,4439,46760,61910,132.3995
2024-10-14,51199,4445,46754,61844,132.2753
2024-10-17,50858,4458,46400,61572,132.6983
2024-10-18,51201,4503,46698,61926,132.6095
2024-10-19,51201,4501,46700,61959,132.6745
2024-10-20,51201,4501,46700,61995,132.7516
2024-10-25,51201,4510,46691,61981,132.7472
2024-10-26,51201,4513,46688,62045,132.8928
2024-10-27,51201,4513,46688,62094,132.9978
2024-10-28,51201,4517,46684,62100,133.022
2024-10-29,51184,4421,46763,62123,132.8465
2024-11-02,51181,4425,46756,62178,132.984
2024-11-03,51181,4425,46756,62217,133.0674
2024-11-04,51168,4386,46782,62191,132.9379
2024-11-05,51168,4387,46781,62245,133.0562
2024-11-06,51168,4412,46756,62219,133.0717
2024-11-07,51168,4426,46742,62267,133.2142
2024-11-08,51168,4419,46749,62227,133.1087
2024-11-11,51168,4439,46729,62245,133.2042
