id,nome,tipo,posti_regolamentari,posti_non_disponibili,posti_occupati,posti_aggiornati_al,posti_reali,tasso_occupazione
MII179988,Reggio Calabria Arghillà,Casa circondariale,294,1,339,2024-08-03,293,1.16
MII172610,Brescia Verziano,Casa di reclusione,71,0,120,2024-08-03,71,1.69
MII172320,Busto Arsizio,Casa circondariale,240,10,428,2024-08-03,230,1.86
MII173712,Como,Casa circondariale,226,2,439,2024-08-03,224,1.96
MII173747,Cremona,Casa circondariale,394,10,546,2024-08-03,384,1.42
MII177436,Lecco,Casa circondariale,53,1,82,2024-08-03,52,1.58
MII178027,Lodi,Casa circondariale,45,0,77,2024-08-03,45,1.71
MII178072,Mantova,Casa circondariale,97,2,140,2024-08-03,95,1.47
MII178659,Monza,Casa circondariale,411,5,703,2024-08-03,406,1.73
MII179237,Opera,Casa di reclusione - Iª casa,918,14,1293,2024-08-03,904,1.43
MII182910,Pavia,Casa circondariale,515,11,678,2024-08-03,504,1.35
MII181346,Sondrio,Casa circondariale,26,0,27,2024-08-03,26,1.04
MII181703,Varese,Casa circondariale,53,0,100,2024-08-03,53,1.89
MII181924,Vigevano,Casa di reclusione,242,13,342,2024-08-03,229,1.49
MII179733,Voghera,Casa circondariale - Nuovo Complesso,341,0,356,2024-08-03,341,1.04
MII173311,Catanzaro,Casa circondariale - Ugo Caridi,682,56,611,2024-08-03,626,0.98
MII173324,Crotone,Casa circondariale,99,0,129,2024-08-03,99,1.3
MII177996,Locri,Casa circondariale,86,0,123,2024-08-03,86,1.43
MII179342,Palmi,Casa circondariale - Filippo Salsone,141,0,169,2024-08-03,141,1.2
MII179353,Paola,Casa circondariale,181,27,188,2024-08-03,154,1.22
MII180415,Rossano,Casa di reclusione - Nuovo Complesso,263,3,317,2024-08-03,260,1.22
MII181908,Vibo Valentia,Casa circondariale - Nuovo Complesso,406,4,400,2024-08-03,402,1.0
MII159053,Ariano Irpino,Casa circondariale - Pasquale Campanello,276,16,310,2024-08-03,260,1.19
MII172187,Aversa,Casa di reclusione - Filippo Saporito,254,23,255,2024-08-03,231,1.1
MII173101,Carinola,Casa di reclusione - Gian Battista Novelli,552,56,504,2024-08-03,496,1.02
MII173784,Eboli,Casa di reclusione,54,0,38,2024-08-03,54,0.7
MII172580,Bolzano,Casa circondariale,95,14,107,2024-08-03,81,1.32
MII176719,Gorizia,Casa circondariale - Angiolo Bigazzi,53,0,76,2024-08-03,53,1.43
