Date,tasso_affollamento_ufficiale,tasso_affollamento_reale,tasso_affollamento_ufficiale (interpolated),tasso_affollamento_reale (interpolated)
2024-06-17,,130.4216,120.0556,130.4216
2024-06-30,119.9984,,119.9984,130.4643
2024-07-31,119.3841,,119.3841,130.5069
2024-08-03,,130.5496,120.0247,130.5496
2024-08-13,,131.1777,120.6652,131.1777
2024-08-31,121.3058,,121.3058,131.4767
2024-09-30,120.8337,,120.8337,131.7756
2024-10-01,,132.0746,120.8337,132.0746
2024-10-05,,132.1883,120.8337,132.1883
2024-10-06,,132.2567,120.8337,132.2567
2024-10-07,,132.2768,120.8337,132.2768
2024-10-08,,131.0531,120.8337,131.0531
2024-10-09,,132.3103,120.8337,132.3103
2024-10-10,,132.2619,120.8337,132.2619
2024-10-11,,132.2683,120.8337,132.2683
2024-10-12,,132.346,120.8337,132.346
2024-10-13,,132.3995,120.8337,132.3995
2024-10-14,,132.2753,120.8337,132.2753
2024-10-17,,132.6983,120.8337,132.6983
